årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;149247
1956;126673
1957;153037
1958;128505
1959;144332
1960;129706
1961;160216
1962;135340
1963;131439
1964;143209
1965;150466
1966;160638
1967;200777
1968;193307
1969;194663
1970;183852
1971;194013
1972;181890
1973;193070
1974;184158
1975;174538
1976;139056
1977;130808
1978;120292
1979;112499
1980;135356
1981;135589
1982;145132
1983;124871
1984;124000
1985;129544
1986;118611
1987;119001
1988;171071
1989;137134
1990;158310
1991;143401
1992;137900
1993;136592
1994;127329
1995;122918
1996;104796
1997;91759
1998;100569
1999;109736
2000;96204
2001;108701
2002;102837
2003;103375
2004;121592
2005;105400
