årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;2306
1959;3055
1960;3111
1961;3267
1962;2688
1963;2962
1964;2703
1965;2796
1966;2712
1967;3997
1968;3904
1969;3897
1970;3644
1971;4014
1972;5347
1973;3966
1974;3192
1975;3678
1976;3542
1977;2956
1978;2051
1979;3756
1980;4697
1981;2871
1982;3275
1983;3278
1984;2807
1985;4299
1986;1989
1987;2087
1988;2827
1989;1864
1990;2543
1991;2378
1992;2612
1993;2259
1994;2099
1995;1686
1996;1965
1997;1159
1998;1509
1999;1261
2000;1654
2001;1822
2002;1522
2003;1633
2004;2106
2005;1756
