årstal;antal
1959;3151
1960;4243
1961;7103
1962;6098
1963;6340
1964;9252
1965;10777
1966;9862
1967;18530
1968;9752
1969;11707
1970;12660
1971;9606
1972;7329
1973;11336
1974;17503
1975;12291
1976;6981
1977;7921
1978;9476
1979;8313
1980;14693
1981;13688
1982;11438
1983;9348
1984;11229
1985;12906
1986;9039
1987;11891
1988;25970
1989;8163
1990;16822
1991;14157
1992;8617
1993;10999
1994;12209
1995;10547
1996;5877
1997;6146
1998;6773
1999;6754
2000;7460
2001;11586
2002;7988
2003;7266
2004;14332
2005;9985
