årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2362
1956;2260
1957;2474
1958;2239
1959;3115
1960;2768
1961;3443
1962;2839
1963;2824
1964;2967
1965;3720
1966;3666
1967;3795
1968;3947
1969;3740
1970;3717
1971;3416
1972;2701
1973;3819
1974;5014
1975;4222
1976;3186
1977;2938
1978;2835
1979;2490
1980;3966
1981;3564
1982;3692
1983;2287
1984;2694
1985;2275
1986;1559
1987;1976
1988;3503
1989;1837
1990;2669
1991;1915
1992;1411
1993;1826
1994;1807
1995;1773
1996;1172
1997;759
1998;1033
1999;1363
2000;1339
2001;1468
2002;1233
2003;1041
2004;1562
2005;932
