årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4
1956;17
1957;9
1958;12
1959;11
1960;23
1961;16
1962;15
1963;5
1964;4
1965;7
1966;15
1967;6
1968;19
1969;6
1970;23
1971;10
1972;32
1973;4
1974;13
1975;10
1976;22
1977;16
1978;19
1979;23
1980;41
1981;26
1982;26
1983;10
1984;22
1985;41
1986;33
1987;25
1988;37
1989;31
1990;59
1991;60
1992;65
1993;47
1994;64
1995;46
1996;50
1997;79
1998;257
1999;145
2000;90
2001;110
2002;171
2003;228
2004;72
2005;177
