årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;2174
1959;2587
1960;2035
1961;2641
1962;4217
1963;3043
1964;3007
1965;3833
1966;3481
1967;4188
1968;5814
1969;3775
1970;3680
1971;4984
1972;4788
1973;6742
1974;6324
1975;8030
1976;6201
1977;6132
1978;5338
1979;6713
1980;7013
1981;5350
1982;9655
1983;6754
1984;7994
1985;6097
1986;5084
1987;6501
1988;6579
1989;7456
1990;7771
1991;5965
1992;8584
1993;4857
1994;5746
1995;6531
1996;5183
1997;6874
1998;3825
1999;7282
2000;5071
2001;5498
2002;6009
2003;5212
2004;4255
2005;3690
