årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;3839
1956;3389
1957;4349
1958;4581
1959;5795
1960;5924
1961;7142
1962;6235
1963;7348
1964;9346
1965;10428
1966;14287
1967;18851
1968;23260
1969;23019
1970;27069
1971;30865
1972;26671
1973;26244
1974;26635
1975;20402
1976;12692
1977;10202
1978;8840
1979;6288
1980;7060
1981;7769
1982;7280
1983;6047
1984;6312
1985;6942
1986;8234
1987;5915
1988;9517
1989;11464
1990;12108
1991;11042
1992;12209
1993;11872
1994;10221
1995;8334
1996;7627
1997;7607
1998;8260
1999;9049
2000;7106
2001;7308
2002;7318
2003;8659
2004;10318
2005;9706
