årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;191
1956;190
1957;221
1958;194
1959;217
1960;296
1961;218
1962;212
1963;169
1964;175
1965;207
1966;262
1967;221
1968;215
1969;255
1970;190
1971;246
1972;270
1973;440
1974;209
1975;376
1976;454
1977;314
1978;436
1979;267
1980;44
1981;83
1982;21
1983;24
1984;54
1985;24
1986;17
1987;16
1988;23
1989;18
1990;13
1991;16
1992;8
1993;10
1994;24
1995;31
1996;42
1997;332
1998;46
1999;58
2000;36
2001;49
2002;20
2003;16
2004;13
2005;16
