årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;35733
1956;18128
1957;27250
1958;23360
1959;15976
1960;14666
1961;25008
1962;21237
1963;22508
1964;20985
1965;23195
1966;22847
1967;31702
1968;28839
1969;22964
1970;23694
1971;24811
1972;23338
1973;27240
1974;21144
1975;22302
1976;18107
1977;20414
1978;23076
1979;24791
1980;31259
1981;36426
1982;31001
1983;31604
1984;27952
1985;29492
1986;31031
1987;31042
1988;44521
1989;36485
1990;40348
1991;37808
1992;34679
1993;36069
1994;35995
1995;36339
1996;29295
1997;25085
1998;30073
1999;33730
2000;27087
2001;28950
2002;29540
2003;28824
2004;29549
2005;27354
