årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;221
1956;77
1957;155
1958;217
1959;167
1960;154
1961;323
1962;226
1963;346
1964;237
1965;237
1966;392
1967;818
1968;319
1969;932
1970;584
1971;446
1972;365
1973;554
1974;361
1975;540
1976;414
1977;402
1978;448
1979;339
1980;448
1981;365
1982;469
1983;517
1984;422
1985;537
1986;592
1987;711
1988;886
1989;736
1990;950
1991;1103
1992;1104
1993;1202
1994;1195
1995;1291
1996;1231
1997;1048
1998;1961
1999;1646
2000;2293
2001;2384
2002;2443
2003;2679
2004;3003
2005;3223
