årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;31605
1956;29882
1957;31951
1958;25137
1959;30691
1960;26100
1961;28461
1962;21459
1963;21041
1964;23023
1965;24430
1966;26064
1967;29795
1968;29291
1969;28740
1970;27107
1971;29432
1972;28297
1973;27089
1974;26338
1975;22905
1976;17153
1977;12818
1978;9268
1979;9631
1980;15470
1981;18093
1982;17972
1983;15484
1984;14374
1985;12830
1986;11988
1987;9005
1988;10642
1989;10384
1990;9843
1991;9965
1992;11163
1993;12103
1994;10382
1995;10591
1996;9468
1997;6747
1998;7083
1999;6466
2000;5501
2001;5151
2002;5022
2003;5029
2004;4709
2005;3999
