årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;81
1956;60
1957;91
1958;69
1959;92
1960;123
1961;123
1962;126
1963;117
1964;141
1965;162
1966;155
1967;155
1968;185
1969;172
1970;298
1971;316
1972;416
1973;419
1974;496
1975;654
1976;744
1977;987
1978;958
1979;989
1980;1354
1981;1066
1982;878
1983;733
1984;815
1985;858
1986;703
1987;734
1988;404
1989;415
1990;364
1991;394
1992;310
1993;429
1994;413
1995;264
1996;458
1997;365
1998;402
1999;301
2000;293
2001;297
2002;282
2003;270
2004;268
2005;212
