årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;6713
1956;6032
1957;6480
1958;5173
1959;5508
1960;5372
1961;6088
1962;5218
1963;4584
1964;4645
1965;5009
1966;5592
1967;6442
1968;5014
1969;5391
1970;5463
1971;5910
1972;5584
1973;5491
1974;4401
1975;4004
1976;3507
1977;2889
1978;2291
1979;1954
1980;1748
1981;1507
1982;1168
1983;734
1984;613
1985;614
1986;580
1987;641
1988;570
1989;633
1990;732
1991;724
1992;615
1993;445
1994;283
1995;456
1996;421
1997;400
1998;548
1999;640
2000;462
2001;475
2002;524
2003;499
2004;512
2005;585
