årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;9221
1956;8209
1957;8913
1958;7338
1959;8932
1960;7871
1961;8815
1962;8402
1963;7658
1964;8287
1965;8597
1966;10866
1967;9253
1968;11929
1969;12664
1970;11209
1971;12760
1972;12952
1973;14847
1974;11725
1975;12711
1976;11386
1977;10139
1978;9432
1979;9097
1980;7822
1981;7700
1982;6668
1983;3894
1984;3132
1985;2918
1986;2697
1987;2376
1988;2340
1989;3137
1990;2242
1991;2308
1992;1950
1993;1343
1994;1047
1995;1668
1996;1801
1997;1624
1998;1929
1999;2655
2000;2166
2001;2077
2002;2019
2003;2526
2004;2399
2005;2360
