årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;1420
1956;1959
1957;1869
1958;1978
1959;2294
1960;1729
1961;2044
1962;2620
1963;3085
1964;3442
1965;3893
1966;5416
1967;5455
1968;6688
1969;7959
1970;7876
1971;8233
1972;8806
1973;9481
1974;8176
1975;8714
1976;8613
1977;8398
1978;8791
1979;9149
1980;8663
1981;7324
1982;7489
1983;5874
1984;5600
1985;5668
1986;5290
1987;6248
1988;4843
1989;6096
1990;4372
1991;4110
1992;3513
1993;2912
1994;1727
1995;2064
1996;1769
1997;1741
1998;1756
1999;1684
2000;1644
2001;1177
2002;1455
2003;1627
2004;1287
2005;1391
