årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;10908
1956;9238
1957;11056
1958;8623
1959;9131
1960;9367
1961;11178
1962;12450
1963;10530
1964;11598
1965;13242
1966;11701
1967;13313
1968;10444
1969;10869
1970;9789
1971;7948
1972;8846
1973;8571
1974;6467
1975;7144
1976;7554
1977;7336
1978;6010
1979;4523
1980;4007
1981;4135
1982;4261
1983;5377
1984;4585
1985;4713
1986;5441
1987;5660
1988;5976
1989;8289
1990;8368
1991;8098
1992;9271
1993;6906
1994;5082
1995;4612
1996;5635
1997;4227
1998;4234
1999;4914
2000;3791
2001;4123
2002;3628
2003;4638
2004;4923
2005;4776
