årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2835
1956;2685
1957;2980
1958;3005
1959;3165
1960;2977
1961;3222
1962;3215
1963;3036
1964;2970
1965;3169
1966;3505
1967;3462
1968;4028
1969;4296
1970;3639
1971;3803
1972;3973
1973;4157
1974;4507
1975;4509
1976;4434
1977;4025
1978;3637
1979;3904
1980;4693
1981;5489
1982;5119
1983;4792
1984;4973
1985;5356
1986;5173
1987;4703
1988;5187
1989;6049
1990;6322
1991;6951
1992;7848
1993;9081
1994;8685
1995;9081
1996;8721
1997;6707
1998;7040
1999;7014
2000;6893
2001;7358
2002;7669
2003;8047
2004;7767
2005;7062
