årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4029
1956;3238
1957;3103
1958;3483
1959;4289
1960;3400
1961;2945
1962;2407
1963;2593
1964;4385
1965;4071
1966;3236
1967;4848
1968;5901
1969;8212
1970;5226
1971;5161
1972;5433
1973;5742
1974;5839
1975;4412
1976;4981
1977;4668
1978;3913
1979;3212
1980;4148
1981;4458
1982;5472
1983;3127
1984;3146
1985;2825
1986;2460
1987;2662
1988;2169
1989;3090
1990;3127
1991;3145
1992;3145
1993;2806
1994;2851
1995;3202
1996;4099
1997;3126
1998;3116
1999;4957
2000;3672
2001;3724
2002;4525
2003;5232
2004;4887
2005;4881
