årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;3430
1956;3596
1957;4340
1958;4047
1959;3881
1960;4179
1961;4797
1962;5061
1963;4667
1964;3565
1965;2051
1966;1790
1967;1707
1968;2064
1969;1418
1970;617
1971;599
1972;711
1973;832
1974;1081
1975;2524
1976;2748
1977;2853
1978;1920
1979;1089
1980;884
1981;816
1982;1164
1983;1532
1984;2107
1985;3224
1986;3416
1987;3027
1988;3063
1989;2843
1990;2465
1991;2024
1992;2138
1993;2143
1994;2334
1995;2901
1996;3572
1997;2977
1998;4154
1999;4182
2000;3605
2001;3801
2002;3850
2003;4007
2004;4179
2005;3741
