årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;581
1956;395
1957;473
1958;713
1959;837
1960;862
1961;1096
1962;1331
1963;739
1964;602
1965;527
1966;656
1967;861
1968;768
1969;1561
1970;1030
1971;857
1972;684
1973;1291
1974;1121
1975;1279
1976;968
1977;1746
1978;1947
1979;1458
1980;1080
1981;1161
1982;905
1983;841
1984;911
1985;938
1986;1222
1987;1171
1988;1166
1989;1408
1990;1509
1991;1427
1992;2087
1993;1521
1994;1438
1995;1586
1996;1573
1997;954
1998;1617
1999;1636
2000;2227
2001;2831
2002;2496
2003;1787
2004;2925
2005;2828
