årstal;antal
1952;0
1953;0
1954;0
1955;2782
1956;2617
1957;3059
1958;2319
1959;2069
1960;1990
1961;2863
1962;3094
1963;3167
1964;4399
1965;3483
1966;3068
1967;2694
1968;2436
1969;2956
1970;2418
1971;2540
1972;2681
1973;3373
1974;3536
1975;3724
1976;2664
1977;2415
1978;2855
1979;2075
1980;1472
1981;1349
1982;1493
1983;1568
1984;2048
1985;1643
1986;2023
1987;1839
1988;2531
1989;3310
1990;3682
1991;2677
1992;3500
1993;2984
1994;1703
1995;1620
1996;1538
1997;932
1998;1185
1999;1002
2000;713
2001;664
2002;833
2003;492
2004;498
2005;526
