årstal;antal
1944;312081
1945;318318
1946;260973
1947;299493
1948;326634
1949;446064
1950;438045
1951;387026
1952;338966
1953;332442
1954;274247
1955;262186
1956;252741
1957;307757
1958;309255
1959;368248
1960;307428
1961;331358
1962;228501
1963;215048
1964;210088
1965;182503
1966;185969
1967;219417
1968;215863
1969;223282
1970;199601
1971;219734
1972;191196
1973;196982
1974;189361
1975;215531
1976;211187
1977;219331
1978;175945
1979;122914
1980;79761
1981;63973
1982;49438
1983;55729
1984;52807
1985;63822
1986;74457
1987;49505
1988;62968
1989;85777
1990;84544
1991;76700
1992;96020
1993;110479
1994;104008
1995;93752
1996;72664
1997;57470
1998;56903
1999;52826
2000;41678
2001;42128
2002;46488
2003;41513
2004;34536
2005;31407
