årstal;antal
1941;1612432
1942;1310579
1943;2553789
1944;2289945
1945;2520900
1946;2414517
1947;2554038
1948;2701627
1949;3028995
1950;2898355
1951;2872700
1952;2747966
1953;3098747
1954;2836504
1955;3020422
1956;2507395
1957;2944086
1958;2775752
1959;3270371
1960;2855278
1961;3404484
1962;3042162
1963;3201642
1964;3289223
1965;3313441
1966;3486273
1967;3851939
1968;3971504
1969;4041144
1970;3753742
1971;3769597
1972;3643656
1973;3933864
1974;3663364
1975;3951476
1976;3610300
1977;3536439
1978;3394900
1979;3223263
1980;3219127
1981;3291749
1982;3231464
1983;3173914
1984;2902182
1985;3082511
1986;3046667
1987;2801379
1988;3288952
1989;3335237
1990;3359285
1991;3135420
1992;3248016
1993;3195293
1994;3003787
1995;3147181
1996;2777870
1997;2427023
1998;2682783
1999;2896542
2000;2461992
2001;2672980
2002;2620077
2003;2754901
2004;2797081
2005;2693921
