årstal;antal
1950;124014
1951;107607
1952;96092
1953;126745
1954;135708
1955;119470
1956;85854
1957;106260
1958;87454
1959;120115
1960;97211
1961;109328
1962;101383
1963;102508
1964;94738
1965;111661
1966;101984
1967;120565
1968;132525
1969;140568
1970;118524
1971;122387
1972;112024
1973;111160
1974;92182
1975;96941
1976;90650
1977;78581
1978;63399
1979;91080
1980;95981
1981;76330
1982;79826
1983;74613
1984;67595
1985;78429
1986;47405
1987;53344
1988;62260
1989;54454
1990;57128
1991;59214
1992;54457
1993;51274
1994;45047
1995;45179
1996;38270
1997;31377
1998;33384
1999;32859
2000;33452
2001;32159
2002;31037
2003;33421
2004;37320
2005;31229
