årstal;antal
1959;69808
1960;80962
1961;120768
1962;136693
1963;158831
1964;160275
1965;146745
1966;157896
1967;173459
1968;135903
1969;140039
1970;154366
1971;136482
1972;127784
1973;142200
1974;144115
1975;157716
1976;117001
1977;103998
1978;109470
1979;101817
1980;139761
1981;154377
1982;149601
1983;146296
1984;126215
1985;122053
1986;108060
1987;109973
1988;168740
1989;133799
1990;152346
1991;152233
1992;132180
1993;118580
1994;144274
1995;153706
1996;88679
1997;82769
1998;87900
1999;98524
2000;111456
2001;128562
2002;108331
2003;124222
2004;144003
2005;129716
