årstal;antal
1943;82617
1944;51283
1945;45869
1946;37107
1947;34127
1948;38827
1949;47948
1950;53000
1951;40453
1952;38966
1953;58372
1954;52516
1955;52965
1956;43095
1957;46706
1958;48590
1959;52244
1960;45723
1961;55219
1962;64219
1963;58904
1964;64192
1965;60083
1966;68981
1967;69183
1968;76176
1969;73975
1970;73233
1971;71495
1972;67709
1973;81900
1974;71699
1975;75641
1976;57175
1977;55006
1978;43991
1979;41528
1980;50349
1981;56851
1982;45394
1983;43088
1984;37636
1985;30278
1986;24690
1987;26441
1988;35570
1989;31147
1990;32557
1991;27729
1992;23702
1993;23269
1994;25534
1995;23536
1996;21805
1997;17752
1998;17940
1999;21394
2000;23233
2001;21218
2002;19212
2003;15157
2004;16051
2005;12853
