årstal;antal
1941;156030
1942;101887
1943;127186
1944;112431
1945;145057
1946;226412
1947;147623
1948;139111
1949;171550
1950;25909
1951;62727
1952;60230
1953;88953
1954;91200
1955;93070
1956;60912
1957;92834
1958;87210
1959;109180
1960;92970
1961;115302
1962;109296
1963;117084
1964;104824
1965;129839
1966;125862
1967;123917
1968;175761
1969;120810
1970;117174
1971;139533
1972;137627
1973;160636
1974;146866
1975;182004
1976;135689
1977;139081
1978;134869
1979;133651
1980;138938
1981;149145
1982;190343
1983;156527
1984;145525
1985;116217
1986;110383
1987;114309
1988;134506
1989;149910
1990;134245
1991;120258
1992;149050
1993;102532
1994;102603
1995;113840
1996;83451
1997;92981
1998;71356
1999;94283
2000;75227
2001;77060
2002;76116
2003;75153
2004;68961
2005;62528
