årstal;antal
1941;394242
1942;267732
1943;375927
1944;253522
1945;313451
1946;277123
1947;369066
1948;375859
1949;436191
1950;403798
1951;396594
1952;388851
1953;371861
1954;348788
1955;365727
1956;319105
1957;411853
1958;403498
1959;564427
1960;456568
1961;612640
1962;430810
1963;579133
1964;617921
1965;567264
1966;614722
1967;713424
1968;735717
1969;685829
1970;697060
1971;719933
1972;677382
1973;720593
1974;749018
1975;780583
1976;724303
1977;738667
1978;706641
1979;669617
1980;659064
1981;631428
1982;657401
1983;685258
1984;654736
1985;764855
1986;785772
1987;633149
1988;805590
1989;864514
1990;887804
1991;759156
1992;828685
1993;884668
1994;795822
1995;804411
1996;728835
1997;622581
1998;739541
1999;760979
2000;636603
2001;680853
2002;668409
2003;709519
2004;722441
2005;706962
