årstal;antal
1941;5878
1942;3248
1943;3389
1944;3354
1945;2894
1946;3331
1947;3553
1948;4963
1949;4052
1950;4239
1951;4374
1952;4598
1953;5233
1954;4917
1955;5327
1956;4190
1957;4518
1958;4168
1959;4624
1960;4276
1961;4888
1962;4734
1963;4355
1964;4425
1965;4491
1966;4808
1967;4804
1968;5177
1969;5032
1970;4114
1971;4628
1972;4896
1973;6624
1974;5213
1975;6920
1976;7225
1977;5281
1978;6177
1979;4495
1980;1079
1981;910
1982;824
1983;1160
1984;1192
1985;1164
1986;1095
1987;1041
1988;1208
1989;1457
1990;1301
1991;1153
1992;1398
1993;1548
1994;1274
1995;1425
1996;1905
1997;1960
1998;1707
1999;1871
2000;1599
2001;1967
2002;1448
2003;1300
2004;982
2005;582
