årstal;antal
1941;277814
1942;279724
1943;403847
1944;359851
1945;412971
1946;418914
1947;371887
1948;428699
1949;408189
1950;424909
1951;458464
1952;453218
1953;550930
1954;466440
1955;579205
1956;328127
1957;386365
1958;371144
1959;360115
1960;278025
1961;392232
1962;368692
1963;365065
1964;360239
1965;364164
1966;360702
1967;403684
1968;425648
1969;368048
1970;336222
1971;356878
1972;367965
1973;399388
1974;326442
1975;379838
1976;355842
1977;378878
1978;432203
1979;460350
1980;503212
1981;595687
1982;581343
1983;638912
1984;563876
1985;628791
1986;657451
1987;649194
1988;766292
1989;723382
1990;693549
1991;665984
1992;670609
1993;676762
1994;707771
1995;757151
1996;627167
1997;564912
1998;658938
1999;721660
2000;553833
2001;585845
2002;592082
2003;597708
2004;564769
2005;546329
