årstal;antal
1941;3783
1942;3968
1943;3453
1944;3026
1945;3154
1946;2791
1947;3591
1948;3039
1949;2893
1950;2758
1951;3458
1952;2770
1953;2895
1954;3159
1955;3369
1956;3384
1957;2989
1958;3012
1959;2575
1960;2766
1961;2460
1962;2305
1963;2713
1964;2996
1965;2545
1966;2546
1967;2284
1968;2185
1969;1924
1970;2111
1971;1869
1972;1626
1973;1683
1974;1472
1975;1443
1976;1263
1977;1380
1978;1076
1979;1364
1980;1638
1981;1407
1982;1537
1983;1747
1984;1310
1985;1563
1986;1444
1987;1700
1988;1587
1989;1374
1990;1028
1991;1075
1992;954
1993;891
