årstal;antal
1941;14181
1942;11502
1943;13681
1944;11730
1945;10904
1946;8502
1947;10136
1948;8196
1949;8613
1950;7652
1951;7849
1952;8276
1953;9186
1954;7563
1955;8992
1956;6325
1957;8214
1958;6880
1959;6695
1960;7010
1961;8321
1962;7600
1963;10905
1964;8813
1965;8840
1966;10241
1967;11953
1968;8127
1969;17634
1970;10547
1971;8541
1972;7035
1973;8791
1974;8078
1975;9893
1976;9496
1977;9093
1978;11041
1979;10170
1980;11730
1981;11833
1982;11479
1983;12763
1984;9985
1985;13134
1986;13130
1987;15435
1988;15929
1989;13387
1990;14074
1991;15557
1992;15860
1993;15703
1994;14640
1995;16113
1996;16092
1997;13096
1998;18028
1999;17607
2000;19470
2001;21964
2002;24507
2003;29223
2004;30587
2005;33183
