årstal;antal
1941;413242
1942;365227
1943;477779
1944;409201
1945;445790
1946;382167
1947;445140
1948;467062
1949;473889
1950;448988
1951;409664
1952;403333
1953;438023
1954;371232
1955;388810
1956;384853
1957;440219
1958;409378
1959;456613
1960;410549
1961;450990
1962;368048
1963;362577
1964;352383
1965;339782
1966;333856
1967;356204
1968;332488
1969;312457
1970;289308
1971;299466
1972;283264
1973;286359
1974;292066
1975;299091
1976;282494
1977;243250
1978;224181
1979;190272
1980;204264
1981;204141
1982;204086
1983;205305
1984;186925
1985;192687
1986;190053
1987;151160
1988;162317
1989;152292
1990;146687
1991;140596
1992;165310
1993;182670
1994;162889
1995;159863
1996;134790
1997;99586
1998;104604
1999;98094
2000;83245
2001;76017
2002;70570
2003;71866
2004;67570
2005;59386
