årstal;antal
1943;272751
1944;186077
1945;205706
1946;196442
1947;235484
1948;239289
1949;232747
1950;190672
1951;181274
1952;163448
1953;197907
1954;184693
1955;209428
1956;172890
1957;180508
1958;170588
1959;190694
1960;170399
1961;185015
1962;186503
1963;192932
1964;208464
1965;220499
1966;238747
1967;248040
1968;279971
1969;312394
1970;287803
1971;288722
1972;278555
1973;311060
1974;277756
1975;294198
1976;267646
1977;241056
1978;244994
1979;239559
1980;211916
1981;228059
1982;189312
1983;131723
1984;119183
1985;112420
1986;115229
1987;102827
1988;102823
1989;108850
1990;104356
1991;93360
1992;77487
1993;67705
1994;49733
1995;68477
1996;77557
1997;71193
1998;75032
1999;98088
2000;69123
2001;77725
2002;79213
2003;95226
2004;90663
2005;92164
