årstal;antal
1941;496
1942;406
1943;320
1944;380
1945;384
1946;398
1947;1200
1948;607
1949;790
1950;539
1951;685
1952;862
1953;651
1954;880
1955;767
1956;692
1957;678
1958;785
1959;630
1960;515
1961;617
1962;585
1963;531
1964;577
1965;755
1966;690
1967;590
1968;634
1969;591
1970;564
1971;471
1972;663
1973;793
1974;827
1975;1130
1976;1402
1977;1352
1978;1392
1979;1341
1980;1298
1981;1721
1982;1482
1983;1760
1984;1983
1985;1705
1986;1667
1987;1581
1988;1677
1989;1919
1990;1921
1991;2092
1992;2279
1993;2534
1994;2429
1995;2854
1996;3505
1997;2909
1998;3287
1999;3392
2000;3387
2001;3338
2002;3531
2003;3672
2004;4254
2005;3994
