årstal;antal
1941;225374
1942;185423
1943;195169
1944;99779
1945;88750
1946;96176
1947;101414
1948;117079
1949;130456
1950;110184
1951;94014
1952;76897
1953;104419
1954;103692
1955;113374
1956;101739
1957;107300
1958;101636
1959;102449
1960;95574
1961;112154
1962;122036
1963;130556
1964;143390
1965;162687
1966;188535
1967;198017
1968;219000
1969;232715
1970;226621
1971;213778
1972;214236
1973;240650
1974;205498
1975;225775
1976;220596
1977;211874
1978;204507
1979;194066
1980;187736
1981;170532
1982;157763
1983;145982
1984;136386
1985;132389
1986;117890
1987;116180
1988;111725
1989;111361
1990;98646
1991;87118
1992;78300
1993;62614
1994;42683
1995;47060
1996;44543
1997;36473
1998;37723
1999;35894
2000;29802
2001;28858
2002;28428
2003;32004
2004;27842
2005;25716
