årstal;antal
1941;42617
1942;27702
1943;29739
1944;27334
1945;31676
1946;34627
1947;22104
1948;28752
1949;35338
1950;35006
1951;41213
1952;39540
1953;54535
1954;50912
1955;42461
1956;43074
1957;50850
1958;43972
1959;51709
1960;44157
1961;49447
1962;48894
1963;38023
1964;38992
1965;44825
1966;54324
1967;51293
1968;44471
1969;43639
1970;40691
1971;37483
1972;34036
1973;39694
1974;31582
1975;28095
1976;23122
1977;18384
1978;20566
1979;26275
1980;27034
1981;20341
1982;11933
1983;9073
1984;9723
1985;10369
1986;8950
1987;7422
1988;10707
1989;8679
1990;8948
1991;8557
1992;7399
1993;5141
