årstal;antal
1943;144784
1944;129241
1945;136012
1946;122726
1947;148392
1948;138157
1949;194500
1950;230842
1951;255851
1952;255058
1953;294419
1954;291289
1955;326985
1956;278333
1957;334243
1958;284866
1959;345103
1960;337069
1961;380469
1962;385611
1963;378275
1964;405445
1965;442345
1966;435383
1967;495123
1968;431483
1969;440165
1970;345743
1971;317782
1972;321392
1973;342679
1974;302622
1975;339421
1976;331992
1977;332329
1978;307297
1979;274264
1980;223309
1981;225640
1982;236696
1983;268107
1984;234663
1985;249327
1986;274564
1987;252239
1988;267877
1989;328938
1990;349212
1991;348343
1992;353655
1993;315032
1994;258103
1995;261296
1996;276155
1997;253253
1998;239288
1999;298859
2000;240908
2001;316446
2002;298546
2003;330820
2004;344666
2005;346742
