årstal;antal
1941;19983
1942;15727
1943;16027
1944;15300
1945;19029
1946;18048
1947;20170
1948;17627
1949;18843
1950;18830
1951;21266
1952;22678
1953;22861
1954;23931
1955;24824
1956;24104
1957;27583
1958;26394
1959;28168
1960;25405
1961;28708
1962;28850
1963;30797
1964;30424
1965;32177
1966;31886
1967;31963
1968;35063
1969;34890
1970;30258
1971;30536
1972;31636
1973;32217
1974;34811
1975;36044
1976;38241
1977;39542
1978;38905
1979;38942
1980;41303
1981;46574
1982;46986
1983;50693
1984;50855
1985;56301
1986;57070
1987;53928
1988;59091
1989;66676
1990;72449
1991;77591
1992;86880
1993;101816
1994;97676
1995;104352
1996;108967
1997;89221
1998;100874
1999;103298
2000;95069
2001;102629
2002;103275
2003;112917
2004;111257
2005;106602
