årstal;antal
1943;85418
1944;69576
1945;78948
1946;74652
1947;78793
1948;84046
1949;90529
1950;77957
1951;81655
1952;79540
1953;79302
1954;68556
1955;78729
1956;80489
1957;86285
1958;85960
1959;83016
1960;71872
1961;65864
1962;73450
1963;80337
1964;91523
1965;92095
1966;73076
1967;92581
1968;127261
1969;134108
1970;105896
1971;109754
1972;114193
1973;117201
1974;108722
1975;100664
1976;109410
1977;95801
1978;89823
1979;88727
1980;82018
1981;91232
1982;90925
1983;73693
1984;79140
1985;75879
1986;77152
1987;85792
1988;76953
1989;80117
1990;91572
1991;87375
1992;78786
1993;90293
1994;81035
1995;81299
1996;98613
1997;73987
1998;91423
1999;101725
2000;88031
2001;99414
2002;115290
2003;104352
2004;113866
2005;117644
