årstal;antal
1941;30271
1942;22226
1943;19961
1944;20162
1945;22550
1946;22756
1947;28780
1948;24452
1949;28526
1950;33007
1951;38264
1952;36264
1953;41105
1954;42942
1955;42974
1956;41075
1957;45130
1958;44889
1959;45815
1960;44306
1961;52264
1962;54650
1963;57998
1964;59251
1965;56479
1966;56336
1967;55600
1968;61643
1969;58626
1970;53733
1971;56170
1972;53379
1973;49895
1974;47916
1975;53026
1976;49320
1977;49148
1978;44162
1979;48557
1980;44220
1981;43287
1982;43106
1983;43403
1984;44768
1985;53504
1986;51372
1987;50176
1988;51289
1989;52922
1990;50241
1991;40050
1992;36538
1993;36716
1994;33683
1995;38306
1996;43828
1997;37363
1998;44404
1999;43781
2000;36607
2001;39132
2002;38831
2003;41746
2004;42189
2005;39490
