årstal;antal
1941;353
1942;314
1943;159
1944;176
1945;196
1946;233
1947;280
1948;297
1949;173
1950;220
1951;298
1952;264
1953;256
1954;232
1955;264
1956;280
1957;350
1958;259
1959;294
1960;282
1961;316
1962;270
1963;251
1964;233
1965;293
1966;233
1967;280
1968;194
1969;242
1970;183
1971;138
1972;193
1973;135
1974;154
1975;159
1976;161
1977;253
1978;195
1979;155
1980;196
1981;244
1982;166
1983;288
1984;230
1985;304
1986;304
1987;325
1988;358
1989;429
1990;398
1991;380
1992;320
1993;350
1994;365
1995;367
1996;706
1997;640
1998;485
1999;401
2000;457
2001;357
2002;311
2003;362
2004;348
2005;339
