årstal;antal
1941;20262
1942;19860
1943;21957
1944;23900
1945;31056
1946;20282
1947;12839
1948;10269
1949;15982
1950;18434
1951;26658
1952;22644
1953;31279
1954;16872
1955;9147
1956;9354
1957;9902
1958;13015
1959;17939
1960;18058
1961;24499
1962;22639
1963;18317
1964;13806
1965;11379
1966;11007
1967;14937
1968;12873
1969;19532
1970;17468
1971;13758
1972;13169
1973;22945
1974;16522
1975;22110
1976;21616
1977;27207
1978;34832
1979;23147
1980;20184
1981;19044
1982;17511
1983;17204
1984;18901
1985;17389
1986;23012
1987;21064
1988;20938
1989;25918
1990;26979
1991;23880
1992;33744
1993;29617
1994;26518
1995;26722
1996;28089
1997;19301
1998;24498
1999;24326
2000;38714
2001;38622
2002;37658
2003;24887
2004;38066
2005;38171
