årstal;antal
1952;8736
1953;8837
1954;10541
1955;6937
1956;9281
1957;10683
1958;7988
1959;11002
1960;9368
1961;15680
1962;13435
1963;9506
1964;9593
1965;9707
1966;5483
1967;7290
1968;8774
1969;10009
1970;7028
1971;7835
1972;7502
1973;9816
1974;12953
1975;13486
1976;11994
1977;10931
1978;10518
1979;6398
1980;4134
1981;3242
1982;4604
1983;6325
1984;7616
1985;10018
1986;11092
1987;11982
1988;14166
1989;16298
1990;17447
1991;15830
1992;11963
1993;7807
1994;5480
1995;5974
1996;5156
1997;4027
1998;7462
1999;4878
2000;4315
2001;3762
2002;5301
2003;5516
2004;7230
2005;6131
