årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;21935
1956;19649
1957;24528
1958;26082
1959;29604
1960;21379
1961;26148
1962;17034
1963;16484
1964;16144
1965;13795
1966;14268
1967;18494
1968;16369
1969;17546
1970;11815
1971;13511
1972;12115
1973;12441
1974;11709
1975;12780
1976;11507
1977;12532
1978;8015
1979;4476
1980;2277
1981;1996
1982;1372
1983;1517
1984;1778
1985;2085
1986;2853
1987;1821
1988;2254
1989;3620
1990;4342
1991;4498
1992;6226
1993;6263
1994;5185
1995;4208
1996;2716
1997;1957
1998;2005
1999;1754
2000;1413
2001;1425
2002;2054
2003;1992
2004;1207
2005;1543
