årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;192020
1956;162173
1957;180151
1958;206444
1959;222632
1960;178093
1961;218564
1962;194027
1963;205217
1964;222649
1965;211274
1966;225774
1967;251374
1968;246211
1969;255908
1970;170599
1971;179298
1972;170853
1973;184018
1974;172303
1975;178538
1976;165164
1977;161954
1978;144806
1979;131565
1980;122681
1981;132247
1982;134514
1983;128727
1984;121769
1985;130233
1986;126980
1987;117098
1988;137334
1989;143824
1990;144520
1991;148187
1992;149159
1993;145916
1994;127866
1995;127881
1996;110502
1997;95417
1998;106690
1999;110832
2000;93961
2001;99273
2002;107703
2003;114077
2004;118698
2005;112856
