årstal;antal
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;9100
1959;9771
1960;6598
1961;6882
1962;5196
1963;5371
1964;5579
1965;5727
1966;6032
1967;7199
1968;7783
1969;6836
1970;6098
1971;5828
1972;6249
1973;6914
1974;6200
1975;5728
1976;4582
1977;3739
1978;2636
1979;4160
1980;3319
1981;2448
1982;2889
1983;3027
1984;2370
1985;2558
1986;1895
1987;1998
1988;2301
1989;2115
1990;2660
1991;2587
1992;2113
1993;2115
1994;2289
1995;1788
1996;1654
1997;1227
1998;1396
1999;1638
2000;1359
2001;1422
2002;1135
2003;1116
2004;1932
2005;1268
