årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4461
1956;3482
1957;4032
1958;4319
1959;4364
1960;3304
1961;3886
1962;5330
1963;4595
1964;5245
1965;4077
1966;4697
1967;5182
1968;4896
1969;5263
1970;3415
1971;3693
1972;3233
1973;3756
1974;3270
1975;3813
1976;3345
1977;2940
1978;2674
1979;2012
1980;2330
1981;2691
1982;2905
1983;2494
1984;1988
1985;1520
1986;1272
1987;1141
1988;1470
1989;1439
1990;1671
1991;1289
1992;1417
1993;1349
1994;1365
1995;1526
1996;1056
1997;652
1998;777
1999;1109
2000;1067
2001;816
2002;913
2003;738
2004;764
2005;529
