årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;23
1956;28
1957;44
1958;34
1959;31
1960;20
1961;61
1962;57
1963;42
1964;45
1965;91
1966;46
1967;96
1968;16
1969;24
1970;35
1971;42
1972;38
1973;21
1974;11
1975;122
1976;35
1977;43
1978;50
1979;39
1980;54
1981;56
1982;54
1983;58
1984;45
1985;36
1986;47
1987;40
1988;38
1989;120
1990;126
1991;88
1992;102
1993;105
1994;99
1995;94
1996;151
1997;103
1998;86
1999;131
2000;68
2001;138
2002;68
2003;84
2004;81
2005;56
