årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;8409
1959;8049
1960;6593
1961;7781
1962;7824
1963;8713
1964;7369
1965;7547
1966;8418
1967;8931
1968;11188
1969;8364
1970;6963
1971;6580
1972;7903
1973;8739
1974;7916
1975;7977
1976;8580
1977;6434
1978;5861
1979;7872
1980;7243
1981;7686
1982;10488
1983;7915
1984;7930
1985;7154
1986;6352
1987;6663
1988;6970
1989;7311
1990;6812
1991;6280
1992;8759
1993;6469
1994;6926
1995;8053
1996;5454
1997;4773
1998;4512
1999;6075
2000;3701
2001;3744
2002;4217
2003;4783
2004;4739
2005;4735
