årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;15281
1956;12955
1957;16069
1958;15488
1959;19709
1960;15715
1961;21527
1962;14466
1963;17702
1964;21176
1965;21303
1966;24632
1967;28166
1968;27597
1969;26729
1970;23249
1971;27659
1972;25471
1973;25838
1974;28850
1975;28588
1976;23700
1977;25440
1978;22194
1979;19285
1980;18231
1981;16919
1982;20208
1983;19402
1984;20592
1985;24466
1986;22545
1987;17236
1988;27456
1989;29317
1990;30340
1991;35810
1992;37005
1993;37007
1994;28389
1995;23397
1996;19743
1997;16063
1998;18579
1999;15841
2000;14747
2001;15817
2002;19436
2003;21815
2004;20427
2005;20270
