årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;355
1956;228
1957;312
1958;358
1959;412
1960;337
1961;492
1962;593
1963;523
1964;521
1965;533
1966;451
1967;582
1968;690
1969;550
1970;308
1971;441
1972;445
1973;598
1974;442
1975;575
1976;618
1977;392
1978;568
1979;425
1980;112
1981;120
1982;122
1983;99
1984;105
1985;112
1986;156
1987;119
1988;80
1989;141
1990;156
1991;113
1992;85
1993;109
1994;78
1995;116
1996;86
1997;114
1998;92
1999;148
2000;52
2001;68
2002;88
2003;67
2004;53
2005;74
