årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;24178
1956;14175
1957;14827
1958;18985
1959;19367
1960;12960
1961;18240
1962;17508
1963;18147
1964;20201
1965;18124
1966;19767
1967;21278
1968;23135
1969;25636
1970;13440
1971;14453
1972;14558
1973;15131
1974;12517
1975;14137
1976;13608
1977;14509
1978;17439
1979;17735
1980;20380
1981;27374
1982;25791
1983;29049
1984;28218
1985;31284
1986;31427
1987;28757
1988;35976
1989;33341
1990;31360
1991;32426
1992;31584
1993;32906
1994;34206
1995;34912
1996;29608
1997;29484
1998;33258
1999;35389
2000;29265
2001;30245
2002;30888
2003;32689
2004;29930
2005;29582
