årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;62
1956;62
1957;66
1958;324
1959;165
1960;215
1961;228
1962;138
1963;197
1964;160
1965;172
1966;155
1967;151
1968;205
1969;431
1970;250
1971;119
1972;95
1973;99
1974;66
1975;150
1976;132
1977;130
1978;217
1979;101
1980;114
1981;109
1982;149
1983;154
1984;101
1985;113
1986;89
1987;124
1988;104
1989;128
1990;143
1991;187
1992;142
1993;172
1994;160
1995;134
1996;153
1997;982
1998;140
1999;197
2000;142
2001;165
2002;328
2003;273
2004;479
2005;293
