årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;100
1956;66
1957;126
1958;62
1959;114
1960;153
1961;153
1962;156
1963;145
1964;175
1965;201
1966;193
1967;192
1968;253
1969;239
1970;182
1971;217
1972;194
1973;212
1974;253
1975;273
1976;389
1977;522
1978;471
1979;474
1980;575
1981;518
1982;590
1983;589
1984;505
1985;586
1986;459
1987;425
1988;304
1989;387
1990;375
1991;295
1992;280
1993;361
1994;295
1995;263
1996;339
1997;349
1998;441
1999;463
2000;346
2001;364
2002;254
2003;283
2004;287
2005;312
