årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;19156
1956;17260
1957;18709
1958;18855
1959;20375
1960;16427
1961;20224
1962;18852
1963;20921
1964;23386
1965;22592
1966;23059
1967;24004
1968;20503
1969;21130
1970;13801
1971;14527
1972;13027
1973;11320
1974;9951
1975;9138
1976;8578
1977;7540
1978;6308
1979;6326
1980;5133
1981;4894
1982;3803
1983;2672
1984;2337
1985;2414
1986;2275
1987;2222
1988;2017
1989;2357
1990;2321
1991;2517
1992;2084
1993;1936
1994;1264
1995;1733
1996;1953
1997;1638
1998;1756
1999;2161
2000;1648
2001;1911
2002;2073
2003;2554
2004;2463
2005;2035
