årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;22
1956;29
1957;40
1958;48
1959;49
1960;54
1961;33
1962;38
1963;20
1964;27
1965;49
1966;24
1967;25
1968;49
1969;39
1970;16
1971;24
1972;24
1973;20
1974;14
1975;27
1976;103
1977;49
1978;50
1979;57
1980;69
1981;80
1982;70
1983;60
1984;60
1985;64
1986;105
1987;51
1988;52
1989;64
1990;80
1991;76
1992;99
1993;109
1994;115
1995;153
1996;170
1997;160
1998;146
1999;194
2000;153
2001;135
2002;203
2003;180
2004;204
2005;201
