årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;5165
1956;4614
1957;5716
1958;8267
1959;7537
1960;5947
1961;7083
1962;8564
1963;8369
1964;9750
1965;10246
1966;11177
1967;13182
1968;13766
1969;16724
1970;12396
1971;12711
1972;11951
1973;14241
1974;11364
1975;13259
1976;12080
1977;11118
1978;10268
1979;9613
1980;9604
1981;9866
1982;8935
1983;8292
1984;6910
1985;7129
1986;5856
1987;6243
1988;6372
1989;5755
1990;5147
1991;4132
1992;4605
1993;3589
1994;2513
1995;2709
1996;2224
1997;1637
1998;1736
1999;1571
2000;1493
2001;1446
2002;1560
2003;1677
2004;1991
2005;988
