årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;25446
1956;20785
1957;22314
1958;20102
1959;23140
1960;19736
1961;24104
1962;23637
1963;24125
1964;29473
1965;29573
1966;30593
1967;34692
1968;25090
1969;27397
1970;14746
1971;14144
1972;13298
1973;15159
1974;12580
1975;13893
1976;14515
1977;14086
1978;10895
1979;9184
1980;7621
1981;7996
1982;8547
1983;10116
1984;8739
1985;8448
1986;10191
1987;9804
1988;9852
1989;13868
1990;14772
1991;14234
1992;15012
1993;11105
1994;7880
1995;7960
1996;7622
1997;6376
1998;6669
1999;7172
2000;6540
2001;7381
2002;7703
2003;8758
2004;9530
2005;9339
