årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;2565
1956;2606
1957;2706
1958;2883
1959;2814
1960;2692
1961;3043
1962;2719
1963;3407
1964;3469
1965;3326
1966;3395
1967;3529
1968;3454
1969;3181
1970;1917
1971;2020
1972;1995
1973;1985
1974;1968
1975;2108
1976;2119
1977;2242
1978;2318
1979;2235
1980;2439
1981;2773
1982;2977
1983;3147
1984;3217
1985;3681
1986;3997
1987;3527
1988;3991
1989;4677
1990;5173
1991;6013
1992;7179
1993;8603
1994;8228
1995;8577
1996;9196
1997;7467
1998;8556
1999;8634
2000;7735
2001;8071
2002;8271
2003;8833
2004;8915
2005;8622
