årstal;antal
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;7016
1956;5829
1957;5903
1958;8854
1959;7614
1960;7314
1961;6953
1962;7712
1963;9600
1964;9922
1965;7986
1966;9548
1967;12479
1968;16979
1969;17458
1970;9598
1971;10422
1972;9390
1973;9534
1974;9539
1975;8999
1976;9593
1977;9372
1978;7843
1979;7446
1980;6241
1981;8375
1982;6676
1983;5681
1984;6550
1985;6848
1986;6513
1987;6751
1988;6039
1989;6831
1990;6282
1991;6683
1992;4997
1993;6055
1994;5170
1995;5168
1996;5621
1997;3791
1998;4097
1999;5404
2000;4607
2001;4795
2002;5432
2003;5220
2004;7465
2005;8320
