årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;4741
1956;4302
1957;5047
1958;5168
1959;4885
1960;4446
1961;5902
1962;5823
1963;6831
1964;7260
1965;7056
1966;6455
1967;6520
1968;6631
1969;6348
1970;3746
1971;4098
1972;4065
1973;3688
1974;3803
1975;4175
1976;3821
1977;4149
1978;3588
1979;4193
1980;3568
1981;3505
1982;3456
1983;3536
1984;3733
1985;4496
1986;4199
1987;4006
1988;3639
1989;3250
1990;2475
1991;1325
1992;1265
1993;1545
1994;1611
1995;2146
1996;2836
1997;2087
1998;2907
1999;3016
2000;2477
2001;2830
2002;2736
2003;3014
2004;3425
2005;3215
