årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;619
1956;519
1957;547
1958;705
1959;1327
1960;920
1961;1353
1962;1384
1963;1150
1964;1031
1965;712
1966;671
1967;1088
1968;846
1969;1504
1970;928
1971;754
1972;614
1973;1166
1974;976
1975;1211
1976;855
1977;1224
1978;1699
1979;936
1980;698
1981;829
1982;741
1983;704
1984;766
1985;712
1986;1002
1987;819
1988;860
1989;1067
1990;1178
1991;1114
1992;1495
1993;1353
1994;1315
1995;1591
1996;1255
1997;900
1998;996
1999;1177
2000;1521
2001;1825
2002;1911
2003;1270
2004;1963
2005;1620
