årstal;antal
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;22880
1956;22553
1957;26105
1958;27082
1959;36713
1960;30200
1961;34194
1962;24850
1963;23569
1964;21349
1965;18320
1966;16922
1967;17613
1968;18849
1969;19451
1970;15378
1971;16160
1972;13929
1973;14824
1974;13981
1975;18509
1976;20236
1977;21409
1978;20278
1979;14638
1980;9161
1981;6881
1982;5673
1983;6455
1984;5199
1985;6438
1986;7523
1987;4837
1988;6346
1989;7478
1990;7890
1991;6204
1992;7414
1993;9070
1994;9644
1995;10139
1996;8419
1997;7224
1998;7705
1999;8158
2000;6190
2001;6288
2002;6393
2003;5952
2004;4922
2005;4073
